id,name,country,position,second_position,club,age,born,matches_played,matches_started,minutes_played,goals,assists,goals_and_assists,yellow_cards,red_cards
165,Yevhen Cheberko,UKR,Defender,,Columbus Crew,26,1998,25,17,"1,689",1,0,1,4,0
166,Mathieu Choiniere,CAN,Midfielder,,CF Montréal,24,1999,17,17,"1,497",2,1,3,5,0
167,Léo Chú,BRA,Forward,Midfielder,Seattle Sounders FC,23,2000,14,12,714,1,2,3,0,0
168,Caden Clark,USA,Defender,Forward,Minnesota Utd,20,2003,23,11,"1,032",0,0,0,3,0
169,Caden Clark,USA,Midfielder,,CF Montréal,20,2003,9,8,669,4,2,6,1,0
170,Steve Clark,USA,Keeper,,Houston Dynamo,37,1986,31,31,"2,772",0,0,0,1,0
171,Noah Cobb,USA,Defender,,Atlanta Utd,18,2005,19,16,"1,353",0,0,0,1,0
172,Matías Cóccaro,URU,Forward,Midfielder,CF Montréal,26,1997,22,10,902,4,1,5,2,0
173,Alonso Coello,ESP,Midfielder,,Toronto FC,24,1999,25,20,"1,530",1,2,3,4,0
174,Josh Cohen,USA,Keeper,,Atlanta Utd,31,1992,3,2,209,0,0,0,0,0
175,Enzo Copetti,ARG,Forward,,Charlotte,28,1996,9,6,495,1,1,2,1,0
176,Gabriele Corbo,ITA,Defender,,CF Montréal,24,2000,28,18,"1,725",0,0,0,1,0
177,Carlos Coronel,PAR,Keeper,,NY Red Bulls,27,1996,27,27,"2,430",0,0,0,2,0
178,Vitor Costa,BRA,Defender,,SJ Earthquakes,29,1994,29,22,"2,101",2,3,5,8,0
179,Ben Cremaschi,USA,Midfielder,,Inter Miami,18,2005,22,12,"1,140",4,1,5,3,0
180,Maxime Crépeau,CAN,Keeper,,Portland Timbers,29,1994,20,20,"1,757",0,0,0,2,1
